         98616 function calls (96118 primitive calls) in 0.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
     1284    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       35    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6550(__new__)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
      341    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:179(sub)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
      118    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       14    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:647(_check_name_wrapper)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
      114    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
     1079    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      523    0.000    0.000    0.000    0.000 typing.py:1279(__eq__)
       43    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      684    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      382    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
      151    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
      541    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
  540/442    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       81    0.000    0.000    0.000    0.000 typing.py:988(_is_unpacked_typevartuple)
      795    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
      307    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      323    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
      503    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:78(inner)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:2888(__new__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
       13    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
      530    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
      927    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
      406    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      151    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      228    0.000    0.000    0.000    0.000 _parser.py:261(get)
      149    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      365    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
    34/14    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        4    0.000    0.000    0.000    0.000 typing.py:1999(__init_subclass__)
      980    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:2808(__new__)
    47/19    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
       13    0.000    0.000    0.000    0.000 mixins.py:36(_inplace_binary_method)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
    34/14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      228    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       43    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        5    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
       13    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7fee98f4ff60}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:1472(Polynomial)
      232    0.000    0.000    0.000    0.000 typing.py:1592(__eq__)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
       10    0.000    0.000    0.000    0.000 functools.py:521(decorating_function)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
       82    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      312    0.000    0.000    0.000    0.000 typing.py:1634(__eq__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       45    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
